,"Actual",,"Model"
"Time","Value","Time","Value"
1522.15,109.1187,1522.15,0.0
1522.1599,108.70242,1522.1599,0.0
1522.1699,108.78769,1522.1699,0.0
1522.1799,108.210175,1522.1799,0.0
1522.19,108.32846,1522.19,0.0
1522.2,108.304245,1522.2,0.0
1522.21,108.309204,1522.21,0.0
1522.22,108.30818,1522.22,0.0
1522.23,108.308395,1522.23,0.0
1522.24,108.86839,1522.24,0.0
1522.25,108.19365,1522.25,0.0
1522.26,108.33185,1522.26,0.0
1522.27,108.86359,1522.27,0.0
1522.2799,93.63329,1522.2799,0.0
1522.2899,67.63007,1522.2899,0.0
1522.2999,45.51351,1522.2999,0.0
1522.3099,25.401146,1522.3099,0.0
1522.32,7.6785383,1522.32,0.0
1522.33,-7.27735,1522.33,0.0
1522.34,-19.901848,1522.34,0.0
1522.35,-31.221165,1522.35,0.0
1522.36,-39.59894,1522.36,0.0
1522.37,-47.509586,1522.37,0.0
1522.38,-54.08975,1522.38,0.0
1522.39,-60.22934,1522.39,0.0
1522.4,-65.74609,1522.4,0.0
1522.4099,-71.033875,1522.4099,0.0
1522.4199,-75.29893,1522.4199,0.0
1522.4299,-78.70384,1522.4299,0.0
1522.44,-81.92838,1522.44,0.0
1522.45,-85.18988,1522.45,0.0
1522.46,-87.37418,1522.46,0.0
1522.47,-90.13565,1522.47,0.0
1522.48,-92.06583,1522.48,0.0
1522.49,-93.80973,1522.49,0.0
1522.5,-94.52216,1522.5,0.0
1522.51,-96.51549,1522.51,0.0
1522.52,-97.889915,1522.52,0.0
1522.5299,-99.391106,1522.5299,0.0
1522.5399,-99.44017,1522.5399,0.0
1522.5499,-100.85627,1522.5499,0.0
1522.5599,-101.63586,1522.5599,0.0
1522.57,-102.902336,1522.57,0.0
1522.58,-104.42564,1522.58,0.0
1522.59,-105.18325,1522.59,0.0
1522.6,-105.74116,1522.6,0.0
1522.61,-105.98343,1522.61,0.0
1522.62,-107.35997,1522.62,0.0
1522.63,-107.07803,1522.63,0.0
1522.64,-107.49231,1522.64,0.0
1522.65,-107.407455,1522.65,0.0
1522.6599,-108.137924,1522.6599,0.0
1522.6699,-108.34485,1522.6699,0.0
1522.6799,-108.302475,1522.6799,0.0
1522.69,-108.31114,1522.69,0.0
1522.7,-109.37898,1522.7,0.0
1522.71,-108.80373,1522.71,0.0
1522.72,-109.27809,1522.72,0.0
1522.73,-109.18094,1522.73,0.0
1522.74,-109.200836,1522.74,0.0
1522.75,-109.90985,1522.75,0.0
1522.76,-109.76463,1522.76,0.0
1522.77,-110.86398,1522.77,0.0
1522.7799,-110.63881,1522.7799,0.0
1522.7899,-111.398026,1522.7899,0.0
1522.7999,-110.529434,1522.7999,0.0
1522.8099,-110.70734,1522.8099,0.0
1522.82,-111.38399,1522.82,0.0
1522.83,-111.24539,1522.83,0.0
1522.84,-110.5607,1522.84,0.0
1522.85,-110.70093,1522.85,0.0
1522.86,-110.67221,1522.86,0.0
1522.87,-111.391174,1522.87,0.0
1522.88,-111.24393,1522.88,0.0
1522.89,-110.56099,1522.89,0.0
1522.9,-110.70087,1522.9,0.0
1522.9099,-110.672226,1522.9099,0.0
1522.9199,-110.678085,1522.9199,0.0
1522.9299,-111.38997,1522.9299,0.0
1522.94,-111.24417,1522.94,0.0
1522.95,-111.63057,1522.95,0.0
1522.96,-111.55142,1522.96,0.0
1522.97,-111.56764,1522.97,0.0
1522.98,-111.564316,1522.98,0.0
1522.99,-111.565,1522.99,0.0
1523.0,-111.20831,1523.0,0.0
1523.01,-111.63791,1523.01,0.0
1523.02,-111.54993,1523.02,0.0
1523.0299,-111.56795,1523.0299,0.0
1523.0399,-111.20772,1523.0399,0.0
1523.0499,-111.63803,1523.0499,0.0
1523.0599,-111.19336,1523.0599,0.0
1523.07,-111.28444,1523.07,0.0
1523.08,-111.26578,1523.08,0.0
1523.09,-110.55652,1523.09,0.0
1523.1,-111.41487,1523.1,0.0
1523.11,-111.239075,1523.11,0.0
1523.12,-111.63161,1523.12,0.0
1523.13,-111.55121,1523.13,0.0
1523.14,-112.28076,1523.14,0.0
1523.15,-112.13133,1523.15,0.0
1523.1599,-112.16194,1523.1599,0.0
1523.1699,-111.4426,1523.1699,0.0
1523.1799,-111.58992,1523.1799,0.0
1523.19,-111.55975,1523.19,0.0
1523.2,-111.56593,1523.2,0.0
1523.21,-111.56467,1523.21,0.0
1523.22,-111.564926,1523.22,0.0
1523.23,-111.20833,1523.23,0.0
1523.24,-111.28137,1523.24,0.0
1523.25,-111.26642,1523.25,0.0
1523.26,-111.26947,1523.26,0.0
1523.27,-111.268845,1523.27,0.0
1523.2799,-111.26898,1523.2799,0.0
1523.2899,-111.62549,1523.2899,0.0
1523.2999,-111.55246,1523.2999,0.0
1523.3099,-111.56743,1523.3099,0.0
1523.32,-111.56436,1523.32,0.0
1523.33,-112.27806,1523.33,0.0
1523.34,-111.41881,1523.34,0.0
1523.35,-111.5948,1523.35,0.0
1523.36,-111.55875,1523.36,0.0
1523.37,-111.56613,1523.37,0.0
1523.38,-111.56462,1523.38,0.0
1523.39,-111.564926,1523.39,0.0
1523.4,-111.20833,1523.4,0.0
1523.4099,-111.28137,1523.4099,0.0
1523.4199,-111.26642,1523.4199,0.0
1523.4299,-111.26947,1523.4299,0.0
1523.44,-110.555756,1523.44,0.0
1523.45,-111.41504,1523.45,0.0
1523.46,-111.595566,1523.46,0.0
1523.47,-111.55859,1523.47,0.0
1523.48,-111.56616,1523.48,0.0
1523.49,-111.56462,1523.49,0.0
1523.5,-111.564926,1523.5,0.0
1523.51,-111.564865,1523.51,0.0
1523.52,-111.56488,1523.52,0.0
1523.5299,-96.59021,1523.5299,0.0
1523.5399,-70.0645,1523.5399,0.0
1523.5499,-50.53969,1523.5499,0.0
1523.5599,-29.58096,1523.5599,0.0
1523.57,-13.194401,1523.57,0.0
1523.58,0.20668888,1523.58,0.0
1523.59,10.598644,1523.59,0.0
1523.6,20.231253,1523.6,0.0
1523.61,29.459335,1523.61,0.0
1523.62,38.77028,1523.62,0.0
1523.63,45.82404,1523.63,0.0
1523.64,51.659958,1523.64,0.0
1523.65,56.625214,1523.65,0.0
1523.6599,62.328857,1523.6599,0.0
1523.6699,66.761154,1523.6699,0.0
1523.6799,71.45386,1523.6799,0.0
1523.69,75.53316,1523.69,0.0
1523.7,79.7381,1523.7,0.0
1523.71,82.79721,1523.71,0.0
1523.72,85.53095,1523.72,0.0
1523.73,87.771286,1523.73,0.0
1523.74,90.11268,1523.74,0.0
1523.75,92.43337,1523.75,0.0
